idx,input,old_any,new_any,old_avg,new_avg,n_candidates,unique_candidates,rollouts,old_correct_samples,new_correct_samples,error
900,4 5 6 10,0,0,0.0,0.0,5,4,5,0,0,
901,1 2 4 7,1,1,0.8,0.8,5,2,5,4,4,
902,2 5 8 11,0,0,0.0,0.0,5,5,5,0,0,
903,3 4 4 13,1,1,0.4,0.4,5,4,5,2,2,
904,6 7 8 9,0,0,0.0,0.0,5,3,5,0,0,
905,1 11 11 13,1,1,0.8,0.8,5,3,5,4,4,
906,1 8 10 11,0,0,0.0,0.0,5,4,5,0,0,
907,2 3 6 9,1,1,0.6,0.6,5,4,5,3,3,
908,1 3 5 9,1,1,0.6,0.6,5,3,5,3,3,
909,3 3 7 12,1,1,0.6,0.6,5,3,5,3,3,
910,4 5 7 9,0,0,0.0,0.0,5,5,5,0,0,
911,1 2 8 13,1,1,0.2,0.2,5,4,5,1,1,
912,4 6 6 9,1,1,0.2,0.2,5,4,5,1,1,
913,1 4 4 8,0,0,0.0,0.0,5,5,5,0,0,
914,1 5 10 11,0,0,0.0,0.0,5,5,5,0,0,
915,3 4 6 11,0,0,0.0,0.0,5,4,5,0,0,
916,2 4 8 9,0,0,0.0,0.0,5,4,5,0,0,
917,1 4 5 13,0,0,0.0,0.0,5,5,5,0,0,
918,2 2 7 12,0,0,0.0,0.0,5,4,5,0,0,
919,3 3 6 7,0,0,0.0,0.0,5,5,5,0,0,
920,1 5 9 13,1,1,0.8,0.8,5,2,5,4,4,
921,5 6 7 13,1,1,0.6,0.6,5,3,5,3,3,
922,5 5 8 10,0,0,0.0,0.0,5,5,5,0,0,
923,2 4 6 12,1,1,0.2,0.2,5,5,5,1,1,
924,6 7 8 11,1,1,0.2,0.2,5,5,5,1,1,
925,7 9 9 13,0,0,0.0,0.0,5,4,5,0,0,
926,3 6 9 12,1,1,0.8,0.8,5,3,5,4,4,
927,6 9 12 13,1,1,0.6,0.6,5,4,5,3,3,
928,4 7 9 13,0,0,0.0,0.0,5,4,5,0,0,
929,5 6 8 12,1,1,0.8,0.8,5,3,5,4,4,
930,2 4 6 7,0,0,0.0,0.0,5,5,5,0,0,
931,2 5 10 10,0,0,0.0,0.0,5,5,5,0,0,
932,6 6 7 12,1,1,0.4,0.4,5,4,5,2,2,
933,6 9 9 11,0,0,0.0,0.0,5,5,5,0,0,
934,5 8 11 12,1,1,0.4,0.4,5,5,5,2,2,
