idx,input,old_any,new_any,old_rs,new_rs,n_candidates,error
900,4 5 6 10,0,0,0,0,1,
901,1 2 4 7,0,0,0,0,1,
902,2 5 8 11,1,1,1,1,1,
903,3 4 4 13,0,0,0,0,1,
904,6 7 8 9,0,0,0,0,1,
905,1 11 11 13,1,1,1,1,1,
906,1 8 10 11,0,0,0,0,1,
907,2 3 6 9,1,1,1,1,1,
908,1 3 5 9,1,1,1,1,1,
909,3 3 7 12,0,0,0,0,1,
910,4 5 7 9,0,0,0,0,1,
911,1 2 8 13,0,0,0,0,1,
912,4 6 6 9,0,0,0,0,1,
913,1 4 4 8,0,0,0,0,1,
914,1 5 10 11,0,0,0,0,1,
915,3 4 6 11,0,0,0,0,1,
916,2 4 8 9,0,0,0,0,1,
917,1 4 5 13,0,0,0,0,1,
918,2 2 7 12,0,0,0,0,1,
919,3 3 6 7,0,0,0,0,1,
920,1 5 9 13,1,1,1,1,1,
921,5 6 7 13,0,0,0,0,1,
922,5 5 8 10,0,0,0,0,1,
923,2 4 6 12,0,0,0,0,1,
924,6 7 8 11,0,0,0,0,1,
925,7 9 9 13,0,0,0,0,1,
926,3 6 9 12,0,0,0,0,1,
927,6 9 12 13,1,1,1,1,1,
928,4 7 9 13,0,0,0,0,1,
929,5 6 8 12,0,0,0,0,1,
930,2 4 6 7,0,0,0,0,1,
931,2 5 10 10,0,0,0,0,1,
932,6 6 7 12,0,0,0,0,1,
933,6 9 9 11,0,0,0,0,1,
934,5 8 11 12,1,1,1,1,1,
935,5 6 8 10,1,1,1,1,1,
936,6 11 12 13,0,0,0,0,1,
937,2 2 8 8,1,1,1,1,1,
938,2 7 12 13,0,0,0,0,1,
939,2 6 8 12,1,1,1,1,1,
940,3 4 9 13,0,0,0,0,1,
941,4 5 10 12,0,0,0,0,1,
942,1 2 7 11,0,0,0,0,1,
943,4 5 6 8,0,0,0,0,1,
944,6 10 12 13,0,0,0,0,1,
945,1 3 9 9,0,0,0,0,1,
946,1 4 4 11,1,1,1,1,1,
947,2 3 9 10,0,0,0,0,1,
948,1 2 3 13,0,0,0,0,1,
949,1 6 6 6,0,0,0,0,1,
950,1 2 2 9,0,0,0,0,1,
951,1 3 6 11,1,1,1,1,1,
952,5 10 12 13,0,0,0,0,1,
953,2 3 6 6,1,1,1,1,1,
954,6 7 10 12,0,0,0,0,1,
955,7 8 8 12,0,0,0,0,1,
956,3 4 6 8,1,1,1,1,1,
957,1 7 9 11,0,0,0,0,1,
958,2 3 6 13,0,0,0,0,1,
959,2 2 5 12,0,0,0,0,1,
960,2 6 8 13,0,0,0,0,1,
961,8 8 10 12,0,0,0,0,1,
962,1 3 8 13,0,0,0,0,1,
963,4 4 7 10,0,0,0,0,1,
964,1 7 10 13,0,0,0,0,1,
965,1 9 10 13,0,0,0,0,1,
966,3 3 4 11,0,0,0,0,1,
967,2 5 7 7,0,0,0,0,1,
968,3 9 10 13,0,0,0,0,1,
969,2 3 4 7,1,1,1,1,1,
970,4 4 8 12,0,0,0,0,1,
971,1 2 6 10,0,0,0,0,1,
972,1 5 12 12,0,0,0,0,1,
973,5 6 6 8,0,0,0,0,1,
974,7 7 8 11,0,0,0,0,1,
975,1 3 7 10,0,0,0,0,1,
976,3 3 9 12,1,1,1,1,1,
977,3 5 7 10,0,0,0,0,1,
978,4 10 12 13,0,0,0,0,1,
979,2 3 10 12,0,0,0,0,1,
980,3 4 6 6,0,0,0,0,1,
981,5 8 8 8,0,0,0,0,1,
982,6 8 8 12,1,1,1,1,1,
983,2 3 4 9,0,0,0,0,1,
984,2 6 7 11,0,0,0,0,1,
985,5 9 12 12,1,1,1,1,1,
986,1 2 7 12,0,0,0,0,1,
987,2 4 5 6,0,0,0,0,1,
988,5 5 8 13,0,0,0,0,1,
989,2 3 3 10,0,0,0,0,1,
990,3 4 8 12,0,0,0,0,1,
991,2 4 6 11,0,0,0,0,1,
992,2 2 8 9,0,0,0,0,1,
993,1 5 6 7,0,0,0,0,1,
994,5 8 10 11,0,0,0,0,1,
995,4 4 9 12,0,0,0,0,1,
996,2 5 6 6,0,0,0,0,1,
997,2 4 9 12,0,0,0,0,1,
998,4 8 11 13,1,1,1,1,1,
999,4 9 10 13,1,1,1,1,1,
