idx,input,old_any,new_any,old_rs,new_rs,old_avg,new_avg,n_candidates,error
900,4 5 6 10,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
901,1 2 4 7,0,1,0,1,0.0,1.0,1,
902,2 5 8 11,1,1,1,1,1.0,1.0,1,
903,3 4 4 13,0,1,"0,0,0,0,0","1,0,0,0,0",0.0,0.2,5,
904,6 7 8 9,0,1,0,1,0.0,1.0,1,
905,1 11 11 13,1,1,1,1,1.0,1.0,1,
906,1 8 10 11,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
907,2 3 6 9,1,1,"1,1","1,1",1.0,1.0,2,
908,1 3 5 9,1,1,1,1,1.0,1.0,1,
909,3 3 7 12,0,1,0,1,0.0,1.0,1,
910,4 5 7 9,0,1,"0,0,0,0,0","0,1,0,0,0",0.0,0.2,5,
911,1 2 8 13,0,1,"0,0,0,0,0","1,1,0,0,0",0.0,0.4,5,
912,4 6 6 9,0,1,0,1,0.0,1.0,1,
913,1 4 4 8,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
914,1 5 10 11,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
915,3 4 6 11,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
916,2 4 8 9,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
917,1 4 5 13,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
918,2 2 7 12,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
919,3 3 6 7,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
920,1 5 9 13,1,1,1,1,1.0,1.0,1,
921,5 6 7 13,0,1,"0,0,0,0,0","1,0,0,0,0",0.0,0.2,5,
922,5 5 8 10,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
923,2 4 6 12,0,1,0,1,0.0,1.0,1,
924,6 7 8 11,0,1,"0,0,0,0,0","1,0,0,0,0",0.0,0.2,5,
925,7 9 9 13,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
926,3 6 9 12,1,1,"0,0,1","1,1,1",0.3333333333333333,1.0,3,
927,6 9 12 13,0,1,"0,0","1,1",0.0,1.0,2,
928,4 7 9 13,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
929,5 6 8 12,0,1,"0,0,0,0,0","1,1,0,0,0",0.0,0.4,5,
930,2 4 6 7,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
931,2 5 10 10,0,1,"0,0,0,0,0","1,0,0,0,0",0.0,0.2,5,
932,6 6 7 12,1,1,"1,1","1,1",1.0,1.0,2,
933,6 9 9 11,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
934,5 8 11 12,1,1,"1,1","1,1",1.0,1.0,2,
935,5 6 8 10,0,1,"0,0","1,1",0.0,1.0,2,
936,6 11 12 13,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
937,2 2 8 8,0,1,"0,0,0,0,0","1,0,0,0,0",0.0,0.2,5,
938,2 7 12 13,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
939,2 6 8 12,0,1,0,1,0.0,1.0,1,
940,3 4 9 13,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
941,4 5 10 12,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
942,1 2 7 11,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
943,4 5 6 8,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
944,6 10 12 13,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
945,1 3 9 9,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
946,1 4 4 11,1,1,"1,1,0","1,1,1",0.6666666666666666,1.0,3,
947,2 3 9 10,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
948,1 2 3 13,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
949,1 6 6 6,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
950,1 2 2 9,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
951,1 3 6 11,0,1,"0,0,0,0,0","1,0,0,0,0",0.0,0.2,5,
952,5 10 12 13,0,1,"0,0,0,0,0","1,1,1,1,1",0.0,1.0,5,
953,2 3 6 6,0,1,"0,0,0,0,0","1,0,0,0,0",0.0,0.2,5,
