run_id,task,backend,algo,method_generate,method_evaluate,method_select,naive_run,prompt_sample,n_generate_sample,n_evaluate_sample,n_select_sample,task_start_index,task_end_index,n_puzzles,accuracy_avg,accuracy_any,completion_tokens,prompt_tokens,cost_usd,elapsed_s
claude_cli-haiku_T0.7_bfs_propose1_value3_greedy1_900-905,game24,claude_cli:haiku,bfs,propose,value,greedy,False,,1,3,1,900,905,5,0.4,0.4,455915,428112,3.0444000499999997,3359.7789902687073
claude_cli-haiku_T0.7_bfs_propose1_value3_greedy1_900-925,game24,claude_cli:haiku,bfs,propose,value,greedy,False,,1,3,1,900,925,25,0.72,0.72,3510939,2922610,22.780240200000005,5929.563384056091
claude_cli-haiku_T0.7_bfs_propose1_value3_greedy1_905-910,game24,claude_cli:haiku,bfs,propose,value,greedy,False,,1,3,1,905,910,5,0.6,0.6,783277,663158,5.1007222000000025,5618.860345125198
claude_cli-haiku_T0.7_bfs_propose1_value3_greedy1_910-915,game24,claude_cli:haiku,bfs,propose,value,greedy,False,,1,3,1,910,915,5,1.0,1.0,703388,554724,4.513034200000001,4923.523020029068
claude_cli-haiku_T0.7_bfs_propose1_value3_greedy1_915-920,game24,claude_cli:haiku,bfs,propose,value,greedy,False,,1,3,1,915,920,5,0.8,0.8,733228,605597,4.748520200000001,5154.446911096573
claude_cli-haiku_T0.7_bfs_propose1_value3_greedy1_920-925,game24,claude_cli:haiku,bfs,propose,value,greedy,False,,1,3,1,920,925,5,0.8,0.8,835131,671019,5.373563550000001,5929.563384056091
claude_cli-haiku_T0.7_bfs_propose1_value3_greedy5_900-903,game24,claude_cli:haiku,bfs,propose,value,greedy,False,,1,3,5,900,903,3,0.46666666666666673,1.0,219016,667937,2.26651195,2290.0735981464386
claude_cli-haiku_T0.7_bfs_propose1_value3_greedy5_900-925,game24,claude_cli:haiku,bfs,propose,value,greedy,False,,1,3,5,900,925,25,0.544,0.92,2366985,5303412,21.33142695,4385.283288240433
claude_cli-haiku_T0.7_bfs_propose1_value3_greedy5_903-906,game24,claude_cli:haiku,bfs,propose,value,greedy,False,,1,3,5,903,906,3,0.6,1.0,549423,739245,4.254445049999999,4385.283288240433
claude_cli-haiku_T0.7_bfs_propose1_value3_greedy5_906-909,game24,claude_cli:haiku,bfs,propose,value,greedy,False,,1,3,5,906,909,3,0.6,0.6666666666666666,205171,504640,1.8724256000000004,1860.700867652893
claude_cli-haiku_T0.7_bfs_propose1_value3_greedy5_909-912,game24,claude_cli:haiku,bfs,propose,value,greedy,False,,1,3,5,909,912,3,0.7333333333333334,1.0,264630,656018,2.4533479499999995,2483.6735129356384
claude_cli-haiku_T0.7_bfs_propose1_value3_greedy5_912-915,game24,claude_cli:haiku,bfs,propose,value,greedy,False,,1,3,5,912,915,3,0.6,1.0,262833,548769,2.2802861500000002,2421.5583839416504
claude_cli-haiku_T0.7_bfs_propose1_value3_greedy5_915-917,game24,claude_cli:haiku,bfs,propose,value,greedy,False,,1,3,5,915,917,2,0.6,1.0,161013,404172,1.5153917499999998,1489.5975530147552
claude_cli-haiku_T0.7_bfs_propose1_value3_greedy5_917-919,game24,claude_cli:haiku,bfs,propose,value,greedy,False,,1,3,5,917,919,2,0.4,1.0,195680,458206,1.7804395999999993,1808.8752472400665
claude_cli-haiku_T0.7_bfs_propose1_value3_greedy5_919-921,game24,claude_cli:haiku,bfs,propose,value,greedy,False,,1,3,5,919,921,2,0.2,0.5,201578,455902,1.8460652500000005,1994.8442730903625
claude_cli-haiku_T0.7_bfs_propose1_value3_greedy5_921-923,game24,claude_cli:haiku,bfs,propose,value,greedy,False,,1,3,5,921,923,2,0.4,1.0,166699,494836,1.7155595999999995,1754.3018290996552
claude_cli-haiku_T0.7_bfs_propose1_value3_greedy5_923-925,game24,claude_cli:haiku,bfs,propose,value,greedy,False,,1,3,5,923,925,2,0.7,1.0,140942,373687,1.3469540499999997,1353.0902287960052
claude_cli-haiku_T0.7_naive_cot_n100_900-901,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,900,901,1,1.0,1.0,162902,6861,0.9748301499999998,1175.1388478279114
claude_cli-haiku_T0.7_naive_cot_n100_900-925,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,900,925,25,0.9964,1.0,6919523,262934,38.707568,7599.961150884628
claude_cli-haiku_T0.7_naive_cot_n100_901-902,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,901,902,1,1.0,1.0,353533,6861,1.92806515,5599.966718912125
claude_cli-haiku_T0.7_naive_cot_n100_902-903,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,902,903,1,1.0,1.0,152700,13083,0.9310165499999998,1088.656919002533
claude_cli-haiku_T0.7_naive_cot_n100_903-904,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,903,904,1,1.0,1.0,113208,13083,0.7335915499999999,843.7760689258575
claude_cli-haiku_T0.7_naive_cot_n100_904-905,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,904,905,1,0.99,1.0,273267,6861,1.5267351499999995,1694.3557651042938
claude_cli-haiku_T0.7_naive_cot_n100_905-906,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,905,906,1,0.99,1.0,255573,13083,1.4453665500000001,5393.964253902435
claude_cli-haiku_T0.7_naive_cot_n100_906-907,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,906,907,1,1.0,1.0,205419,6861,1.1874551500000001,1314.7210528850555
claude_cli-haiku_T0.7_naive_cot_n100_907-908,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,907,908,1,0.99,1.0,138439,6861,0.8526301500000001,1023.8941221237183
claude_cli-haiku_T0.7_naive_cot_n100_908-909,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,908,909,1,1.0,1.0,339293,13083,1.8620695499999997,5554.053339958191
claude_cli-haiku_T0.7_naive_cot_n100_909-910,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,909,910,1,1.0,1.0,252665,13083,1.43083155,1572.6393909454346
claude_cli-haiku_T0.7_naive_cot_n100_910-911,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,910,911,1,1.0,1.0,119170,6861,0.7562151500000003,895.4405019283295
claude_cli-haiku_T0.7_naive_cot_n100_911-912,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,911,912,1,1.0,1.0,123649,13083,0.7839395499999997,884.3807480335236
